question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
Who was the director of Crash?,"['Paul Haggis', 'Paul Edward Haggis']","The director of the 2004 film ""Crash"" was Paul Haggis.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Muslim?,"['Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']",The religion of Muslims is Islam.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of New Caledonia?,"['Noumea', 'Nouméa']",The capital of New Caledonia is Nouméa.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Fast and the Furious?,"['Rob Cohen', 'Robert Cohen']","The director of the first film in The Fast and the Furious franchise, released in 2001, was Rob Cohen.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Vanuatu?,['Port Vila'],The capital of Vanuatu is Port Vila.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Cats?,"['Andrew Lloyd Webber', 'Baron Lloyd-Webber', 'Sir Andrew Lloyd Webber', 'Andrew Lloyd Webber, Baron Lloyd-Webber', 'The Rt Hon. The Lord Lloyd-Webber', 'The Lord Lloyd-Webber', 'Lord Lloyd-Webber']",The composer of the music for the musical Cats is Andrew Lloyd Webber.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Lobster?,"['Yorgos Lanthimos', 'Giorgos Lanthimos']",The director of The Lobster (2015) was Yorgos Lanthimos.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for My Neighbor Totoro?,"['Hayao Miyazaki', 'Miyazaki Hayao', 'Tsutomu Teruki']","The screenwriter for My Neighbor Totoro (1988) was Hayao Miyazaki himself, who is also the co-founder of Studio Ghibli.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Scary Movie 3?,['David Zucker'],The director of Scary Movie 3 was David Zucker.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of French Polynesia?,['Papeete'],The capital of French Polynesia is Papeete.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Tang Empire?,"['Buddhism', 'Buddha Dharma']","The Tang Empire, which existed from 618 to 907 CE, was a Buddhist-majority society. Buddhism was the dominant religion in the Tang capital, Chang'an (modern-day Xi'an). However, other religions such as Taoism, Confucianism, and Islam also coexisted and flourished in the Tang Empire.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Tang Empire?,"[""Chang'an"", 'Changan', 'Chang An']","The Tang Empire, also known as the Tang Dynasty, was a Chinese empire that existed from 618 to 907 CE. The capital of the Tang Empire was Chang'an (modern-day Xi'an).",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of The Gambia?,['Banjul'],The capital of The Gambia is Banjul.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Who was the screenwriter for Monsters, Inc.?","['Andrew Stanton', 'Andrew Christopher Stanton Jr.', 'Andrew Ayers Stanton', 'Dan Gerson', 'Daniel Gerson', 'Daniel Robert Gerson']","The screenwriter for Monsters, Inc. was Andrew Stanton, along with Daniel Gerson and Jill Culton.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Independence Day?,['Roland Emmerich'],The director of Independence Day (1996) was Roland Emmerich.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Scooter Braun's occupation?,"['talent manager', 'artist manager', 'band manager', 'music manager', 'musician manager', 'manager', 'pop entrepreneur']","Scooter Braun is a talent manager, entrepreneur, and investor. He is the founder of SB Projects, a talent management and entertainment company.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Nunavut?,['Iqaluit'],The capital of Nunavut is Iqaluit.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Tuvalu?,"['Funafuti', 'Funafuti Island']",The capital of Tuvalu is Funafuti.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Happening?,"['Sam Mercer', 'Barry Mendel']","The producer of the 2008 film ""The Happening"" was Barry Mendel.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What color is AFC Bournemouth?,"['red', 'red color']",AFC Bournemouth's primary colors are red and black.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is RCA Records?,"['rock music', 'rock and roll', 'rock', 'Rock', 'pop music', 'pop', 'Pop', 'rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B', 'jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']","RCA Records is a major record label that has released music across various genres, including:

* Pop
* Rock
* Country
* R&B
* Hip-Hop
* Electronic

RCA Records has been home to many iconic artists and bands throughout its history.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is The Wall?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']","The Wall, a 1979 rock opera by Pink Floyd, is primarily classified as a Progressive Rock album.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Dominica?,['Roseau'],The capital of Dominica is Roseau.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Guadeloupe?,['Basse-Terre'],The capital of Guadeloupe is Basse-Terre.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of 2012?,['Roland Emmerich'],"The director of the 2009 disaster film ""2012"" was Roland Emmerich.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Saint Kitts and Nevis?,['Basseterre'],The capital of Saint Kitts and Nevis is Basseterre.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Taken?,"['Luc Besson', 'Luc Paul Maurice Besson']","The producer of the 2008 film ""Taken"" was Luc Besson.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Taken?,['Pierre Morel'],"The director of the 2008 film ""Taken"" was Pierre Morel.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Taken?,"['Robert Mark Kamen', 'Luc Besson', 'Luc Paul Maurice Besson']","The screenwriter for the 2008 film ""Taken"" was Luc Besson, along with Robert Mark Kamen.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What color is milk?,"['white', 'W', 'color white', '#FFFFFF']",Milk is typically white in color.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Room?,"['Greg Sestero', 'Gregory Sestero', 'Tommy Wiseau']",The producer of The Room (2003) was Tommy Wiseau.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Room?,['Tommy Wiseau'],The director of The Room (2003) is Tommy Wiseau.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for WALL·E?,"['Jim Reardon', 'Andrew Stanton', 'Andrew Christopher Stanton Jr.', 'Andrew Ayers Stanton']",The screenwriter for WALL·E (2008) was Andrew Stanton.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Reader?,"['Anthony Minghella', 'Anthony Mingella', 'Sydney Pollack', 'Sydney Irwin Pollack']",The producer of The Reader (2008) was Anthony Minghella.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Reader?,"['David Hare', 'Sir David Hare', 'Bernhard Schlink']","The screenwriter for the 2008 film ""The Reader"" was David Hare.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Mask?,"['Chuck Russell', 'Charles Russell']",The director of The Mask (1994) was Chuck Russell.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Full House?,"['Jesse Frederick', 'Frederick James Conway', 'Jesse Frederick James Conaway']","There is no composer specifically credited with the TV show ""Full House"". The show's theme song, ""Everywhere You Look"", was written and performed by Jesse Frederick, who was also a producer on the show.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Perth the capital of?,"['Western Australia', 'WA', 'West Australia', 'West Oz', 'W.A.', 'State of Western Australia', 'State of WA', 'W. Aust.']",Perth is the capital of Western Australia.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Death Becomes Her?,"['Robert Zemeckis', 'Robert L. Zemeckis', 'Robert Lee Zemeckis']",The director of Death Becomes Her (1992) was Robert Zemeckis.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Groundhog Day?,"['Harold Ramis', 'Harold Allen Ramis', 'Danny Rubin']",The screenwriter for Groundhog Day (1993) was Harold Ramis.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Town?,"['Ben Affleck', 'Benjami Géza Affleck', 'Benjamin Géza Affleck-Boldt', 'Benjami Geza Affleck', 'Benjamin Geza Affleck-Boldt']",The director of The Town (2010) was Ben Affleck.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Town?,"['Ben Affleck', 'Benjami Géza Affleck', 'Benjamin Géza Affleck-Boldt', 'Benjami Geza Affleck', 'Benjamin Geza Affleck-Boldt']","The screenwriter for The Town (2010) was Ben Affleck, along with Aaron Stockard.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Idiocracy?,"['Mike Judge', 'Judgemental Films', 'Michael Judge', 'Michael Craig Judge', 'Michael C. Judge']",The producer of the 2006 film Idiocracy was Mike Judge.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Brisbane the capital of?,"['Queensland', 'QLD', 'Qld.', 'City of Brisbane', 'Brisbane City Council', 'Brisbane City']","Brisbane is the capital of Queensland, a state located in the northeastern region of Australia.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Burna Boy's occupation?,"['songwriter', 'song writer']","Burna Boy is a Nigerian singer, rapper, and songwriter.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Spotlight?,['Josh Singer'],"The screenwriter for the 2015 film Spotlight was Josh Singer, along with Tom McCarthy, who also directed the film.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Angels & Demons?,"['David Koepp', 'Akiva Goldsman', 'Akiva J. Goldsman']","The screenwriter for the 2009 film ""Angels & Demons"" was David Koepp.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Princess Kako of Akishino?,"['Kiko, Princess Akishino', 'Princess Akishino', 'Princess Kiko', 'Princess Kiko of Akishino']",The mother of Princess Kako of Akishino is Crown Princess Kiko of Akishino.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Master?,"['Paul Thomas Anderson', 'P. T. Anderson', 'Paul Anderson', 'PTA']",Paul Thomas Anderson was the producer of The Master (2012).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The Master?,"['Jonny Greenwood', 'Jonathan Richard Guy Greenwood']","The composer of the score for the 2012 film ""The Master"" was Jonny Greenwood.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Office Space?,"['Mike Judge', 'Judgemental Films', 'Michael Judge', 'Michael Craig Judge', 'Michael C. Judge']",The screenwriter for Office Space (1999) was Mike Judge.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Closer?,"['Patrick Marber', 'Patrick Albert Crispin Marber']","The screenwriter for the 2004 film ""Closer"" was Patrick Marber.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Signs?,"['James Newton Howard', 'Jim Howard']","The composer of the score for the 2002 film ""Signs"" was James Newton Howard.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is GG Allin?,"['hardcore punk', 'hXc', 'Punk/HC', 'hardcore', 'Hardcore Punk', 'punk rock', 'punk', 'punk music']","GG Allin is a punk rock musician, known for his raw, aggressive sound and his controversial and chaotic live performances.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Hugo?,"['Johnny Depp', 'John Christopher ""Johnny"" Depp II', 'John Christopher Depp II', 'John Christopher Depp', 'Martin Scorsese', 'Martin Skorseze', 'Martin Charles Scorsese', 'Graham King']","The producer of the 2011 film ""Hugo"" was Graham King.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Hugo?,"['Martin Scorsese', 'Martin Skorseze', 'Martin Charles Scorsese']","The director of the 2011 film ""Hugo"" was Martin Scorsese.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Zombieland?,"['Ruben Fleischer', 'Ruben Samuel Fleischer']",The director of Zombieland (2009) was Ruben Fleischer.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is The Internship?,"['comedy film', 'comedy movie']",The Internship is a comedy film.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Internship?,"['Vince Vaughn', 'Vincent Anthony Vaughn', 'Vincent Vaughn']","The screenwriter for The Internship (2013) was Vince Vaughn, along with Jared Stern.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of We Are the World?,"['Michael Jackson', 'MJ', 'The King of Pop', 'Michael Joe Jackson', 'Michael Joseph Jackson', 'M.J.', 'M. J.', 'King of Pop', 'King of Music', 'The King']","The composers of ""We Are the World"" were Michael Jackson and Lionel Richie.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Gabon?,['Libreville'],The capital of Gabon is Libreville.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of Thunderball?,"['Ian Fleming', 'Ian Lancaster Fleming']",The author of Thunderball is Ian Fleming.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Demeter?,"['Cronus', 'Kronos']","According to Greek mythology, the father of Demeter is Cronus.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Nebuchadnezzar II?,['Nabopolassar'],Nebuchadnezzar II's father was Nabopolassar.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Casino?,"['Martin Scorsese', 'Martin Skorseze', 'Martin Charles Scorsese']","The director of the 1995 film ""Casino"" was Martin Scorsese.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Casino?,"['Martin Scorsese', 'Martin Skorseze', 'Martin Charles Scorsese', 'Nicholas Pileggi', 'Nicolas Pileggi']","The screenwriter for the 1995 film Casino was Nicholas Pileggi, who co-wrote the screenplay with Martin Scorsese.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Monk?,"['police procedural', 'comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']",Monk is a crime comedy-drama television series.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Victoria?,"['Melbourne', 'Melbourne, Victoria', 'Melbourne, Australia', 'Greater Melbourne']",The capital of Victoria is Melbourne.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Vertigo?,"['Paramount Pictures', 'Paramount Pictures Corporation', 'Paramount', 'Paramount Filmed Entertainment', 'Paramount Gallery & Entertainment', 'Alfred Hitchcock', 'Alfred Joseph Hitchcock', 'Sir Alfred Hitchcock']","The producer of the 1958 film ""Vertigo"" was Alfred Hitchcock himself, along with William H. Wright.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Animal House?,"['Ivan Reitman', 'Matty Simmons', 'Martin Gerald Simmons']",The producer of Animal House (1978) was Ivan Reitman.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Civic Democratic Party?,"['Czech Republic', 'CZR', 'cz', 'Česko', 'Česká republika', 'ČR', 'cze', 'CZE', 'Czechia']",The Civic Democratic Party (ODS) is a political party in the Czech Republic.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Silence?,"['Martin Scorsese', 'Martin Skorseze', 'Martin Charles Scorsese']","The director of the 2016 film ""Silence"" was Martin Scorsese.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Silence?,"['Jay Cocks', 'Martin Scorsese', 'Martin Skorseze', 'Martin Charles Scorsese']","The screenwriter for the 2016 film ""Silence"" was Jay Cocks.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of The Stand?,"['Stephen King', 'Stephen Edwin King', 'Richard Bachman', 'John Swithen']",The author of The Stand is Stephen King.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Cambridge?,"['United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland']","There are actually two notable places called Cambridge:

1. Cambridge, England, UK - a city famous for its University of Cambridge, King's College Chapel, and more.
2. Cambridge, Massachusetts, USA - a city in the Boston metropolitan area, known for its Harvard University, Massachusetts Institute of Technology (MIT), and more.

So, to answer your question, there is a Cambridge in both England, UK, and Massachusetts, USA!",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Kingdom of the Netherlands?,"['Amsterdam', 'Mokum', 'Amsterdam, NL', 'Amsterdam, Netherlands', ""A'dam""]",The capital of the Kingdom of the Netherlands is Amsterdam.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Mission: Impossible – Ghost Protocol?,['Josh Appelbaum'],The screenwriter for Mission: Impossible – Ghost Protocol was Josh Appelbaum and André Nemec.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
